gene_symbol,RED,pvalue,p_adj,padj,APAreg,APAreg2,gene_label
DNAJB1,0.0555674069066467,0.756683241625879,0.909671651317069,0.923280472114451,NC,NC,no
DNAJB11,-0.31129566280047,0.0929157586173347,0.408341868241403,0.240932057924372,NC,NC,no
DNAJB12,0.226048857346935,0.0255577452663767,0.251625076301432,0.121997418164052,NC,NC,no
DNAJB14,-0.129812685211246,0.0393438272595414,0.293746408251824,0.592073534616476,NC,NC,no
DNAJB2,-0.126900532661142,0.336427266529801,0.665646160102223,0.63432006236234,NC,NC,no
DNAJB4,-0.0723537434028232,0.353262781304857,0.679204017786951,0.875306116254424,NC,NC,no
DNAJB5,0.217374609455646,0.44150918537096,0.743544706050215,0.728290637922974,NC,NC,no
DNAJB9,-0.245011041826873,0.732194447683126,0.89859651166377,0.831283287680706,NC,NC,no
DNAJC1,1.64288707275991,0.0201711611606763,0.231586565552908,0.0791193525614963,UP,NC,no
DNAJC10,0.0973662702478166,0.295225988448386,0.632499585169886,0.656872262086328,NC,NC,no
DNAJC11,-0.00890550284553981,0.854693044935014,0.949793775608963,0.986065881351245,NC,NC,no
DNAJC13,0.133325560013704,0.424669913613478,0.731228912162205,0.774971312986339,NC,NC,no
DNAJC15,0.887849047128277,0.000512367240624871,0.0567206546848001,6.95518926405387e-15,UP,distal,no
DNAJC18,0.0439681441850099,0.840105709935771,0.943587342247137,0.968361432911768,NC,NC,no
DNAJC21,0.0665434615448927,0.536002368096661,0.797127939403242,0.959141948826467,NC,NC,no
DNAJC25,0.214252548918897,0.677664803774379,0.875847703263425,0.883505767945093,NC,NC,no
DNAJC27,-0.00374993201464935,0.991581067215364,0.99672441337845,0.976558692031306,NC,NC,no
DNAJC3,-0.278106564493748,0.237354391778949,0.580630810441378,0.632282467202827,NC,NC,no
DNAJC30,0.52884090645581,0.0735807522230197,0.374441462641774,0.162021247765122,NC,NC,no
DNAJC5,0.0660725235956234,0.432786374656932,0.737089294337588,0.770533797306423,NC,NC,no
DNAJC6,0.11153411127724,0.447910199582254,0.746892081342494,0.774742259450565,NC,NC,no
DNAJC7,0.110278274904315,0.602349066235099,0.837982605245185,0.825499299085351,NC,NC,no
DNAJC8,-0.00276934773875359,0.973031008173784,0.990149058193526,1,NC,NC,no
DNAJC9,0.0530656900838236,0.407503173670433,0.718330683310887,0.854632017346577,NC,NC,no
DNAL1,-0.11092495355576,0.784312065635909,0.920365984868648,0.87391167445356,NC,NC,no
DNASE1L2,-0.892690635037545,0.372535291672842,0.694582247763707,0.630925655241963,NC,NC,no
DND1,-0.422169877863563,0.0509973310550215,0.326734466302721,0.109472470589265,NC,NC,no
DNER,-0.122251987775678,0.494880202333071,0.772296527209209,0.829175609264863,NC,NC,no
DNM1,0.15664413989541,0.427768797446642,0.733955534092491,0.695349226301534,NC,NC,no
DNMBP,-0.82832214938964,0.0463508905283796,0.314555612445948,0.549457396474024,NC,NC,no
DNMT3A,0.45326011344364,0.00286145277198195,0.106903963906247,1.57676668613552e-11,UP,distal,no
DNMT3B,0.0184044888096426,0.943764519932749,0.980958046156387,0.997070550898887,NC,NC,no
DNTTIP2,0.568390162902306,0.159885972732767,0.50171386091796,0.203923499101056,NC,NC,no
DOC2A,0.383379345975593,0.000456529766454968,0.0548005899725845,0.000978585166118078,UP,distal,no
DOCK11,0.261373269995707,0.720963614362511,0.895516691402243,0.969591370869296,NC,NC,no
DOCK3,0.339833154421438,0.0390388327472143,0.292938746167319,0.0799539152692836,UP,NC,no
DOCK4,-0.016603260211272,0.939466314819289,0.979568327085155,0.986132401205243,NC,NC,no
DOCK5,0.397846172326755,0.402913627074008,0.714017770840257,0.651925743701202,NC,NC,no
DOK5,0.0291657411008333,0.875212851359235,0.957554859629933,0.956831971983169,NC,NC,no
DOK6,-0.045092687580495,0.787619864529866,0.921834041238828,0.917525595178582,NC,NC,no
DOLK,0.529926505672977,0.268952502103464,0.611923082017677,0.624602731665084,NC,NC,no
DOPEY1,0.0873819928060566,0.66700194651495,0.870383790835976,0.87391167445356,NC,NC,no
DOPEY2,0.567642898830441,0.152401205780692,0.490277669982725,0.254519693448127,NC,NC,no
DPF2,0.260572735933175,0.0464170912024218,0.314703436525511,0.145523547441012,NC,NC,no
DPF3,-0.567371939635316,0.176206201487787,0.514388519794385,0.296517080381578,NC,NC,no
DPH2,0.12532623765489,0.225310836797284,0.566182548634804,0.812346669625627,NC,NC,no
DPH3,0.0971312843261116,0.232203771041746,0.575806717804901,0.663728735214079,NC,NC,no
DPH5,2.05511414408886,0.0125650772259435,0.193109700967049,3.20109847423368e-06,UP,distal,no
DPH6,0.654372566539957,0.200434648131004,0.54108605373651,0.371188948238456,NC,NC,no
DPM1,-0.426410817207349,0.380964208640878,0.701542060184705,0.774742259450565,NC,NC,no
DPM2,0.221967351938571,0.755899046423451,0.909671651317069,0.836918782989336,NC,NC,no
DPP10,0.50120012497517,0.0393363628303963,0.293746408251824,0.351860042826555,NC,NC,no
DPP4,0.374285582595181,0.606244741595113,0.83923896143675,0.874206862253163,NC,NC,no
DPP8,-0.211281526089016,0.0110956149836141,0.183460875051279,0.574590616450184,NC,NC,no
