gene_id,gene_name,fisher_APA_sig,fisher_padj,APA_log2FC_plotting,deg_log2FC,deg_padj,deg_sig,coordinated_change,text_label
ENSG00000188895,MSL1,longer,2.38183049857679e-37,0.187312172983473,0.0629020179983289,0.135590931879472,no,no,no
ENSG00000188916,INSYN2A,longer,1.37129674634e-22,1.02977236695182,-0.583556049242551,2.22337158279418e-13,no,no,no
ENSG00000188993,LRRC66,longer,7.80764842359529e-11,0.911601002684496,0.747071506535847,9.01406716042299e-05,up,longer,no
ENSG00000189079,ARID2,longer,4.97066125929658e-26,1.12470623446461,0.215166961130733,0.000116451681120022,no,no,no
ENSG00000189091,SF3B3,longer,1.30618569843431e-19,0.60604181975501,-0.0708708386098983,0.419670652541317,no,no,no
ENSG00000189227,C15orf61,longer,2.1727679621476e-35,2.39254950304159,1.19585759241979,2.14142681577927e-24,up,longer,no
ENSG00000189241,TSPYL1,longer,1.30809917950357e-33,1.88320057150555,-0.0535096260238547,0.266169320311235,no,no,no
ENSG00000189283,FHIT,shorter,2.25230055718428e-14,-2.6086521093112,1.52232610893205,0.00130147813638763,up,shorter,yes
ENSG00000189298,ZKSCAN3,shorter,0.0471675071171278,-0.244314483951263,0.767887653345396,6.69136018812055e-15,up,shorter,no
ENSG00000189337,KAZN,shorter,7.22856161922618e-08,-0.473444718403938,-0.487779336052348,2.58233088412758e-25,no,no,no
ENSG00000189369,GSPT2,longer,0.00470931770534824,0.665120187187478,0.0772808284222844,0.358219428454904,no,no,no
ENSG00000196150,ZNF250,longer,5.55521870082156e-09,0.491617560143036,0.0722963605768757,0.383567764021805,no,no,no
ENSG00000196177,ACADSB,longer,0.000110161417979865,0.0981362825422704,-0.144869731552055,0.293650187856393,no,no,no
ENSG00000196208,GREB1,longer,8.02388536625717e-21,0.172774658441534,-0.289527305558509,1.31076621924072e-07,no,no,no
ENSG00000196214,ZNF766,longer,0.000293282051555006,0.651265983902025,0.00887853415087566,0.933062737814516,no,no,no
ENSG00000196230,TUBB,longer,1.98598810802306e-29,0.539529297230044,-0.0329229142689846,0.684178971349273,no,no,no
