groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000109381,ELF2,proximal,no,0.525623198922619,0.528226789289725,1,1,-0.145409975307985,1,0.525623198922619,no,no
ENSG00000109445,ZNF330,distal,no,0.665619145349504,0.649118567339859,1,1,0.12703668798627,1,0.649118567339859,no,no
ENSG00000109452,INPP4B,proximal,no,0.41617189641054,0.338724709480772,1,1,-13.6765757248568,1,0.338724709480772,no,no
ENSG00000109458,GAB1,proximal,no,0.671960098996668,0.979163340742531,1,1,-0.74066431662412,1,0.671960098996668,no,no
ENSG00000109472,CPE,distal,no,0.510639376629526,1,1,1,0.734831401007825,1,0.510639376629526,no,no
ENSG00000109501,WFS1,proximal,no,0.461460979405688,0.367598223427084,1,1,-2.36136973153536,1,0.367598223427084,no,no
ENSG00000109519,GRPEL1,distal,no,0.837714452304552,0.374268255660367,1,1,0.00555849595548708,1,0.374268255660367,no,no
ENSG00000109534,GAR1,distal,no,0.565934307789558,0.514759812977102,1,1,0.285990878048258,1,0.514759812977102,no,no
ENSG00000109572,CLCN3,distal,no,0.920202370693615,0.306670698566471,1,1,0.110910624473535,1,0.306670698566471,no,no
ENSG00000109576,AADAT,proximal,no,0.622473075803672,0.62216634816231,1,1,-0.191565615543896,1,0.62216634816231,no,no
ENSG00000109586,GALNT7,distal,no,0.78223624085672,0.876586430409311,1,1,0.194638393435718,1,0.78223624085672,no,no
ENSG00000109654,TRIM2,proximal,no,0.827644804702501,0.569032264021778,1,1,-0.0807935448366166,1,0.569032264021778,no,no
ENSG00000109670,FBXW7,distal,no,0.57451141568431,0.629666649361825,1,1,0.174333432670547,1,0.57451141568431,no,no
ENSG00000109680,TBC1D19,proximal,no,0.391173098510809,0.119805374428171,1,1,-0.594319831399719,1,0.119805374428171,no,no
ENSG00000109685,NSD2,distal,no,0.330730018149663,0.627281500922748,1,1,0.515995788863228,1,0.330730018149663,no,no
ENSG00000109686,SH3D19,distal,no,0.676583130843579,0.000667861361443522,1,0.138718235473951,1.52952891891259,0.138718235473951,0.000667861361443522,no,no
ENSG00000109689,STIM2,distal,no,0.725184204572139,0.812745296830929,1,1,0.0121330054919868,1,0.725184204572139,no,no
ENSG00000109738,GLRB,distal,no,0.0457704006912518,0.372464602439549,0.941269754087684,1,1.79908591250922,0.941269754087684,0.0457704006912518,no,no
